,agenda_name,agenda_id,agenda_url
94,도시형캠퍼스 설립·운영에 관한 특별법안,2200433,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2U4T0V6U0T4A1Z0A2Z5X4G4E3D5C7
95,교육기본법 일부개정법률안,2202397,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F4G0O7N2L5K1K6T2R0T2S8A0Z6X3
96,윤석열 대통령 배우자 김건희의 주가조작 사건 등의 진상규명을 위한 특별검사 임명 등에 관한 법률안,2204739,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2E4Q1D1Y1L4Y1L2C4Q6E2M1C7U0T7
97,윤석열 정부의 위헌적 비상계엄 선포를 통한 내란 행위의 진상규명을 위한 특별검사 임명 등에 관한 법률안,2206291,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2K4I1A2K0L9J1O0V4D2K1Y4P3I7H7
98,제419회국회(임시회) 회기결정의 건,2206378,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2L4L1X2T1Y0Q1A0K3F2S3S1B7R4M8
99,2025년도 무역보험계약 체결 한도에 대한 동의안,2203533,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2H4S0Q9V0G2I1W7M1N3N4E3M6Y2J9
100,2025년도 임대형 민자사업(BTL) 한도액안,2203521,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2D4Z0W9Y0C2U1E6Y4I7B1D7J8L1Y8
101,2025년도 기금운용계획안,2203520,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2X4W1J2K1F0K1K4C3H8E4W0E3G1A1
102,2025년도 예산안,2203519,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2B4N1B2P1L0L1D4I3M7S2Z5B1U3X2
103,지하수법 일부개정법률안,2204602,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U4S0T9S2O6M1N8L1K4T5R6S1Q4P7
104,먹는물관리법 일부개정법률안,2204601,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2L4K0I9I2Q6P1O8N1J4G1F4N9M1L0
105,국가재정법 일부개정법률안,2202096,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2V4U0B7B1H8G0G9M1L8K1J5P0N3M4
106,소재ㆍ부품ㆍ장비산업 경쟁력 강화 및 공급망 안정화를 위한 특별조치법 일부개정법률안(대안),2206091,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2U4Z1H1H2U9A1S6C1F9H4G7N6H0X3
107,산업기술혁신 촉진법 일부개정법률안,2202095,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2U4T0Q7T1S8R0Z9W1V9E5D1A5I7G0
108,국제질병퇴치기금법 폐지법률안,2204593,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2Y4N0K9J2R6R1P8O1X3V0V1U0C8Z1
109,주식·사채 등의 전자등록에 관한 법률 일부개정법률안,2204804,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2K4J1I0I1Q6P1O0M2N1V4U5S1T8S1
110,자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 일부개정법률안,2203524,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_V2G4C0H9W0W2H1O6B4C8X0F6L5Z9R2
111,국제조세조정에 관한 법률 일부개정법률안,2203523,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_Y2F4E0Q9N0U2X1Y6F4M6W5U6R8T4B7
112,관세법 일부개정법률안,2203399,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_E2N4D0J8X3H0N1N0J0F5M5G8Y3W5V0
